No,Date,Type_of_Victim,Number_of_Victims
501,2012,Injured,1
502,2012,Injured,4
503,2012,Injured,15
504,2012,Injured,2
505,2012,Injured,4
506,2012,Injured,70
507,2012,Injured,3
508,2012,Injured,1
509,2012,Injured,1
510,2012,Injured,2
511,2012,Injured,3
512,2012,Injured,3
513,2012,Injured,0
514,2012,Injured,0
515,2011,Injured,1
516,2011,Injured,7
517,2011,Injured,2
518,2011,Injured,3
519,2011,Injured,11
520,2011,Injured,13
521,2010,Injured,2
522,2010,Injured,3
523,2009,Injured,1
524,2009,Injured,0
525,2009,Injured,32
526,2009,Injured,4
527,2009,Injured,3
528,2009,Injured,1
529,2009,Injured,2
530,2009,Injured,6
531,2008,Injured,2
532,2008,Injured,1
533,2008,Injured,3
534,2008,Injured,1
535,2008,Injured,21
536,2008,Injured,2
537,2007,Injured,0
538,2007,Injured,6
539,2007,Injured,5
540,2007,Injured,4
541,2007,Injured,4
542,2007,Injured,4
543,2007,Injured,1
544,2007,Injured,23
545,2007,Injured,10
546,2007,Injured,4
547,2006,Injured,5
548,2006,Injured,5
549,2006,Injured,5
550,2006,Injured,2
551,2006,Injured,2
552,2006,Injured,2
553,2006,Injured,0
554,2005,Injured,5
555,2005,Injured,4
556,2005,Injured,4
557,2004,Injured,7
558,2004,Injured,2
559,2003,Injured,0
560,2003,Injured,8
561,2003,Injured,2
562,2002,Injured,0
563,2002,Injured,3
564,2001,Injured,13
565,2001,Injured,4
566,2000,Injured,0
567,1999,Injured,3
568,1999,Injured,4
569,1999,Injured,0
570,1999,Injured,7
571,1999,Injured,12
572,1999,Injured,6
573,1999,Injured,24
574,1998,Injured,6
575,1998,Injured,25
576,1998,Injured,3
577,1998,Injured,10
578,1998,Injured,0
579,1997,Injured,2
580,1997,Injured,2
581,1997,Injured,5
582,1997,Injured,7
583,1997,Injured,3
584,1997,Injured,2
585,1996,Injured,0
586,1996,Injured,1
587,1996,Injured,1
588,1995,Injured,1
589,1995,Injured,0
590,1995,Injured,1
591,1995,Injured,2
592,1994,Injured,5
593,1994,Injured,3
594,1994,Injured,23
595,1994,Injured,0
596,1993,Injured,2
597,1993,Injured,1
598,1993,Injured,19
